"filename", "language", "JavaScript", "XML", "JavaScript JSX", "CSS", "JSON", "comment", "blank", "total"
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Blogs/index.jsx", "JavaScript JSX", 0, 0, 88, 0, 0, 0, 14, 102
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Categories/index.css", "CSS", 0, 0, 0, 4, 0, 0, 1, 5
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Categories/index.jsx", "JavaScript JSX", 0, 0, 81, 0, 0, 0, 11, 92
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Home/index.jsx", "JavaScript JSX", 0, 0, 72, 0, 0, 0, 10, 82
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Login/index.css", "CSS", 0, 0, 0, 14, 0, 0, 2, 16
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Login/index.jsx", "JavaScript JSX", 0, 0, 95, 0, 0, 0, 13, 108
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Profile/index.jsx", "JavaScript JSX", 0, 0, 82, 0, 0, 0, 12, 94
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Register/index.css", "CSS", 0, 0, 0, 14, 0, 0, 2, 16
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Register/index.jsx", "JavaScript JSX", 0, 0, 130, 0, 0, 0, 10, 140
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 2, 14
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/services/authService.js", "JavaScript", 76, 0, 0, 0, 0, 0, 10, 86
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/services/blogsService.js", "JavaScript", 141, 0, 0, 0, 0, 0, 9, 150
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/services/categoryService.js", "JavaScript", 92, 0, 0, 0, 0, 0, 6, 98
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 423, 1, 1907, 247, 298, 15, 281, 3172
